Generation,Max Fitness,Avg Fitness,Avg Time Taken (s),Max Time Taken (s)
0,630.0,259.9,11.293958187103271,11.293958187103271
1,710.0,281.1,8.614452958106995,17.22890591621399
2,1800.0,317.2,7.604591051737468,22.813773155212402
3,1110.0,286.2,7.076489984989166,28.305959939956665
4,1720.0,306.4,6.746929597854614,33.73464798927307
5,1840.0,352.9,6.56904665629069,39.41427993774414
6,1120.0,349.2,6.4185991287231445,44.93019390106201
7,1010.0,385.1,6.338190376758575,50.7055230140686
8,1160.0,420.2,6.288037008709377,56.5923330783844
9,1200.0,402.3,6.251617407798767,62.51617407798767
10,2060.0,486.0,6.221550551327792,68.43705606460571
11,1810.0,526.9,6.2099195917447405,74.51903510093689
12,1450.0,522.4,6.199633928445669,80.5952410697937
13,1380.0,473.8,6.1827541419437955,86.55855798721313
14,1400.0,504.1,6.174137608210246,92.61206412315369
15,1940.0,511.8,6.163235247135162,98.6117639541626
16,2230.0,555.7,6.1627625297097595,104.76696300506592
17,2230.0,521.1,6.159521394305759,110.87138509750366
18,1340.0,531.7,6.163254637467234,117.10183811187744
19,2260.0,607.5,6.165005552768707,123.30011105537415
20,2010.0,633.4,6.169895342418125,129.56780219078064
21,2020.0,660.3,6.175434632734819,135.85956192016602
22,2010.0,644.9,6.180688826934151,142.15584301948547
23,2420.0,632.4,6.181514332691829,148.35634398460388
24,1860.0,658.0,6.1897438049316404,154.74359512329102
25,2180.0,741.3,6.202630657416123,161.2683970928192
26,2670.0,702.4,6.206007409978796,167.5622000694275
27,2160.0,804.8,6.221006001744952,174.18816804885864
28,2800.0,739.8,6.225376137371721,180.5359079837799
29,2180.0,785.6,6.230785870552063,186.9235761165619
30,2490.0,784.9,6.233599424362183,193.24158215522766
31,2240.0,859.2,6.237960658967495,199.61474108695984
32,1960.0,815.0,6.252621759067882,206.3365180492401
33,2490.0,858.0,6.25781982085284,212.76587390899658
34,3500.0,895.8,6.266894177028111,219.3412961959839
35,3720.0,787.7,6.267337282498677,225.6241421699524
36,2200.0,770.6,6.269149245442571,231.95852208137512
37,2030.0,787.2,6.2754691023575635,238.4678258895874
38,3530.0,848.0,6.280918824367034,244.95583415031433
39,3740.0,915.6,6.287356156110763,251.49424624443054
40,3550.0,965.8,6.291630099459392,257.9568340778351
41,2670.0,848.1,6.299076142765227,264.5611979961395
42,2160.0,868.8,6.308619560197342,271.2706410884857
43,4000.0,982.6,6.319967275316065,278.07856011390686
44,2520.0,845.6,6.328124268849691,284.7655920982361
45,4520.0,970.5,6.3323722196661905,291.2891221046448
46,2280.0,890.9,6.335458405474399,297.76654505729675
47,2150.0,874.1,6.3383649835983915,304.2415192127228
48,2550.0,875.7,6.3410811813510195,310.71297788619995
49,2290.0,867.3,6.347915863990783,317.3957931995392
