Generation,Max Fitness,Avg Fitness,Avg Time Taken (s),Max Time Taken (s)
0,600.0,251.1,11.037169933319092,11.037169933319092
1,1010.0,298.1,8.295586466789246,16.59117293357849
2,710.0,313.6,7.547469933827718,22.642409801483154
3,1000.0,365.1,7.117916464805603,28.471665859222412
4,1560.0,365.6,6.837375783920288,34.18687891960144
5,1010.0,390.9,6.672565301259358,40.03539180755615
6,1840.0,468.4,6.636047261101859,46.45233082771301
7,1750.0,432.5,6.618129223585129,52.94503378868103
8,1080.0,445.7,6.654529783460829,59.89076805114746
9,1790.0,489.3,6.58419029712677,65.8419029712677
10,1920.0,460.3,6.5620175491679795,72.18219304084778
11,1770.0,467.6,6.531287729740143,78.37545275688171
12,1790.0,525.5,6.493432613519522,84.41462397575378
13,1170.0,473.0,6.514059986386981,91.19683980941772
14,1810.0,474.9,6.516371933619181,97.74557900428772
15,1050.0,514.5,6.493660062551498,103.89856100082397
16,1890.0,604.7,6.482471886803122,110.20202207565308
17,1910.0,542.9,6.457579506768121,116.23643112182617
18,1960.0,574.2,6.450510150507877,122.55969285964966
19,1830.0,597.1,6.434897696971893,128.69795393943787
20,1840.0,657.1,6.459957281748454,135.65910291671753
21,1860.0,581.2,6.492953538894653,142.84497785568237
22,3970.0,589.9,6.474224650341531,148.90716695785522
23,1820.0,600.4,6.495527038971583,155.892648935318
24,1970.0,598.6,6.48762804031372,162.19070100784302
25,2060.0,593.8,6.48856980067033,168.7028148174286
26,1480.0,627.0,6.476632400795266,174.86907482147217
27,1950.0,606.1,6.466088967663901,181.05049109458923
28,1950.0,662.1,6.457701132215303,187.27333283424377
29,1930.0,587.1,6.4448520342508955,193.34556102752686
30,1800.0,597.2,6.434956742871192,199.48365902900696
31,1750.0,609.6,6.427917532622814,205.69336104393005
32,1900.0,652.9,6.4186618472590595,211.81584095954895
33,1850.0,593.3,6.408505439758301,217.88918495178223
34,1860.0,635.0,6.400163909367152,224.00573682785034
35,1860.0,647.3,6.39105044470893,230.07781600952148
36,1990.0,750.3,6.386440644393096,236.29830384254456
37,2520.0,647.4,6.380859262064884,242.47265195846558
38,2660.0,681.1,6.385756254196167,249.0444939136505
39,1930.0,762.2,6.386567825078965,255.46271300315857
40,2270.0,708.0,6.378172734888588,261.50508213043213
41,2640.0,752.4,6.371366807392666,267.59740591049194
42,2290.0,731.3,6.370074882063755,273.91321992874146
43,3850.0,804.1,6.366797680204565,280.13909792900085
44,2400.0,757.8,6.360143375396729,286.2064518928528
45,1940.0,789.5,6.360295021015665,292.5735709667206
46,2260.0,688.7,6.371429189722589,299.45717191696167
47,1950.0,711.1,6.38271851837635,306.3704888820648
48,1900.0,703.1,6.38400396035642,312.8161940574646
49,2410.0,763.5,6.394719576835632,319.7359788417816
50,1940.0,799.0,6.399056682399675,326.3518908023834
51,2530.0,750.3,6.397153712235964,332.65199303627014
52,2060.0,756.2,6.391472051728447,338.74801874160767
53,2110.0,875.5,6.406760149531895,345.9650480747223
54,2250.0,790.2,6.420770506425337,353.14237785339355
55,3390.0,850.8,6.4352703009332926,360.3751368522644
56,2050.0,778.4,6.450162716079176,367.65927481651306
57,2410.0,845.7,6.471695636880809,375.3583469390869
58,2750.0,807.8,6.470711764642748,381.7719941139221
59,2050.0,715.9,6.465046449502309,387.90278697013855
60,2560.0,742.0,6.4626981782131505,394.2245888710022
61,2160.0,845.7,6.475976951660648,401.5105710029602
62,2020.0,848.4,6.472495287183731,407.7672030925751
63,1930.0,829.7,6.475057579576969,414.403685092926
64,2160.0,732.9,6.481554416509775,421.3010370731354
65,2490.0,830.4,6.4907112699566465,428.3869438171387
66,2670.0,684.6,6.515710699024485,436.5526168346405
67,2440.0,762.9,6.515524001682506,443.0556321144104
68,1960.0,755.7,6.510893375977226,449.2516429424286
69,2160.0,716.0,6.510807170186724,455.7565019130707
70,2230.0,696.0,6.511548280715942,462.3199279308319
71,3400.0,797.2,6.50710658232371,468.51167392730713
72,2480.0,694.3,6.515596997247983,475.6385807991028
73,2470.0,880.8,6.524310173215093,482.79895281791687
74,2620.0,743.9,6.529134267171224,489.6850700378418
75,3360.0,830.3,6.536257944608989,496.7556037902832
76,2030.0,855.8,6.54561786837392,504.01257586479187
77,3460.0,849.9,6.548037458688785,510.7469217777252
78,2210.0,873.3,6.55866651897189,518.1346549987793
79,2560.0,879.9,6.573004359006882,525.8403487205505
80,2180.0,689.9,6.5750549516560115,532.579451084137
81,4200.0,808.4,6.585669282006054,540.0248811244965
82,2000.0,661.3,6.588310023388231,546.8297319412231
83,1990.0,738.1,6.5838591541562765,553.0441689491272
84,2290.0,814.5,6.58161956282223,559.4376628398895
85,1930.0,807.8,6.582973383193792,566.1357109546661
86,3560.0,753.4,6.593187252680461,573.6072909832001
87,2280.0,677.7,6.599648077379573,580.7690308094025
88,3500.0,741.0,6.6100187757042015,588.291671037674
89,2080.0,675.7,6.6130982451968725,595.1788420677185
90,2020.0,752.4,6.621646341386732,602.5698170661926
91,2180.0,732.6,6.629950639994248,609.9554588794708
92,3530.0,850.1,6.6357316970825195,617.1230478286743
93,2380.0,778.2,6.6337111275246805,623.56884598732
94,2200.0,718.5,6.636581272827952,630.4752209186554
95,2150.0,858.6,6.641875800987084,637.6200768947601
96,2000.0,816.8,6.64194746115773,644.2689037322998
97,1950.0,815.1,6.650696520902673,651.7682590484619
98,2200.0,837.7,6.658047919321542,659.1467440128326
99,1950.0,865.1,6.666002249717712,666.6002249717712
100,3400.0,770.2,6.665679176255028,673.2335968017578
101,2340.0,727.6,6.662426656367732,679.5675189495087
102,2140.0,703.0,6.663400358366735,686.3302369117737
103,2300.0,793.6,6.6664551725754375,693.3113379478455
104,2020.0,747.8,6.667971810840425,700.1370401382446
105,2510.0,773.6,6.671174753387019,707.144523859024
106,3050.0,766.9,6.6709237744875045,713.788843870163
107,1940.0,730.8,6.680240869522095,721.4660139083862
108,2270.0,804.6,6.68235277910845,728.376452922821
109,2100.0,725.8,6.680838489532471,734.8922338485718
110,2710.0,758.9,6.677785108755301,741.2341470718384
111,3670.0,783.8,6.675565268312182,747.6633100509644
112,2080.0,768.3,6.672432424747838,753.9848639965057
113,2290.0,722.6,6.6694345516070985,760.3155388832092
114,3190.0,707.5,6.66741942530093,766.7532339096069
115,2180.0,699.5,6.666492517652182,773.3131320476532
116,2750.0,755.1,6.665296495470226,779.8396899700165
117,2780.0,852.7,6.662437889535548,786.1676709651947
118,2260.0,827.6,6.658846849153022,792.4027750492096
119,2840.0,872.6,6.657584698994954,798.9101638793945
120,2270.0,798.0,6.654182966090431,805.1561388969421
121,2210.0,890.0,6.651808580414194,811.5206468105316
122,2530.0,819.3,6.648998975753784,817.8268740177155
123,2560.0,765.8,6.645138202175017,823.9971370697021
124,2390.0,810.6,6.642034208297729,830.2542760372162
125,2220.0,809.3,6.638577181195456,836.4607248306274
126,2160.0,780.4,6.635812046020988,842.7481298446655
127,2110.0,785.4,6.632163280621171,848.9168999195099
128,3730.0,819.3,6.629692325296328,855.2303099632263
129,2910.0,760.1,6.625917207277738,861.369236946106
130,2140.0,796.6,6.622706480608642,867.574548959732
131,2020.0,738.9,6.620373090108235,873.8892478942871
132,2430.0,799.5,6.618759599843419,880.2950267791748
133,2190.0,761.0,6.617060492287821,886.686105966568
134,2880.0,758.1,6.614843984886452,893.003937959671
135,2160.0,839.6,6.611710367833867,899.1926100254059
136,2740.0,737.9,6.607872780222092,905.2785708904266
137,2810.0,838.4,6.605813506720723,911.6022639274597
138,2330.0,925.8,6.603762359070263,917.9229679107666
139,3590.0,899.6,6.601885885851724,924.2640240192413
140,2740.0,860.8,6.599581397171562,930.5409770011902
141,2680.0,749.3,6.596459554954314,936.6972568035126
142,3430.0,847.1,6.594881991406421,943.0681247711182
143,2370.0,768.9,6.591743929518594,949.2111258506775
144,2070.0,796.5,6.589366917774595,955.4582030773163
145,2160.0,727.4,6.585921950536232,961.5446047782898
146,2810.0,721.4,6.583206155673176,967.7313048839569
147,2080.0,799.5,6.580982601320422,973.9854249954224
148,2190.0,817.7,6.578172139673425,980.1476488113403
149,2810.0,822.5,6.57630290667216,986.445436000824
150,2500.0,905.1,6.574676475777531,992.7761478424072
151,2470.0,968.7,6.573607367904563,999.1883199214935
152,2680.0,947.6,6.573370653040269,1005.7257099151611
153,3660.0,968.3,6.5728488773494576,1012.2187271118164
154,2230.0,870.8,6.572211425535141,1018.6927709579468
155,2890.0,1024.3,6.57133214137493,1025.1278140544891
156,2130.0,904.6,6.569966674610308,1031.4847679138184
157,2480.0,903.7,6.567763449270514,1037.7066249847412
158,2280.0,866.0,6.565982358260724,1043.9911949634552
159,2360.0,997.2,6.565638825297356,1050.502212047577
160,3520.0,793.4,6.563200956546002,1056.6753540039062
161,2510.0,887.7,6.562537512661498,1063.1310770511627
162,3670.0,895.5,6.562342049885381,1069.6617541313171
163,2450.0,794.6,6.560384756181298,1075.903100013733
164,3560.0,883.2,6.558203127889922,1082.1035161018372
165,2810.0,826.5,6.55642658974751,1088.3668138980865
166,2180.0,857.2,6.554691347533358,1094.6334550380707
167,2320.0,895.9,6.553345183531444,1100.9619908332825
168,2420.0,809.5,6.551496680671646,1107.2029390335083
169,3660.0,858.6,6.549984276995939,1113.4973270893097
170,2640.0,873.9,6.547784052397075,1119.6710729599
171,2370.0,803.0,6.546159900898157,1125.939502954483
172,2970.0,831.7,6.544358485006873,1132.174017906189
