Generation,Max Fitness,Avg Fitness,Avg Time Taken (s),Max Time Taken (s)
0,670.0,265.4,11.206863164901733,11.206863164901733
1,1080.0,283.4,8.392975687980652,16.785951375961304
2,1060.0,298.0,7.455738067626953,22.36721420288086
3,1040.0,294.8,6.958895325660706,27.835581302642822
4,1030.0,327.6,6.665620470046997,33.328102350234985
5,1170.0,356.3,6.500430345535278,39.00258207321167
6,3880.0,420.5,6.413738591330392,44.896170139312744
7,1230.0,448.8,6.349582403898239,50.79665923118591
8,970.0,352.0,6.261029693815443,56.34926724433899
9,1240.0,407.4,6.216187906265259,62.16187906265259
10,1790.0,398.9,6.154114094647494,67.69525504112244
11,2190.0,422.3,6.127974112828572,73.53568935394287
12,1930.0,458.6,6.113628552510188,79.47717118263245
13,1460.0,518.4,6.109282578740801,85.52995610237122
14,1180.0,483.7,6.097916889190674,91.46875333786011
15,1920.0,543.4,6.0884126871824265,97.41460299491882
16,1880.0,556.6,6.093961659599753,103.5973482131958
17,2090.0,510.8,6.090729845894708,109.63313722610474
18,1560.0,543.8,6.0960014368358415,115.82402729988098
19,1870.0,645.4,6.103049254417419,122.06098508834839
20,1890.0,558.4,6.109126726786296,128.2916612625122
21,1880.0,628.1,6.112751234661449,134.48052716255188
22,2780.0,567.2,6.109905222187871,140.52782011032104
23,1910.0,583.0,6.113214711348216,146.71715307235718
24,1930.0,603.3,6.116941576004028,152.9235394001007
25,2590.0,653.3,6.124930400114793,159.24819040298462
26,2110.0,581.2,6.127390155085811,165.4395341873169
27,2250.0,594.8,6.129769010203225,171.6335322856903
28,2180.0,681.5,6.13206304352859,177.8298282623291
29,2080.0,693.5,6.138553539911906,184.15660619735718
30,2260.0,730.4,6.1443863299585155,190.475976228714
31,2430.0,762.2,6.1476201340556145,196.72384428977966
32,2270.0,681.2,6.151388312831069,202.9958143234253
33,1860.0,689.6,6.15319245001849,209.20854330062866
34,1880.0,708.5,6.155279861177717,215.4347951412201
35,2270.0,827.9,6.159383005566067,221.73778820037842
36,2660.0,856.6,6.160407440082447,227.93507528305054
37,2350.0,751.0,6.16436653388174,234.2459282875061
38,2020.0,805.5,6.166331694676326,240.4869360923767
39,1830.0,725.7,6.168699556589127,246.74798226356506
40,1970.0,850.1,6.1705490728703944,252.99251198768616
41,2450.0,845.5,6.175034102939424,259.3514323234558
42,2500.0,859.0,6.175097981164622,265.52921319007874
43,2740.0,921.7,6.178766044703397,271.86570596694946
44,2150.0,883.1,6.1766494909922285,277.94922709465027
45,2710.0,879.2,6.178745394167692,284.22228813171387
46,1990.0,856.9,6.179501066816614,290.43655014038086
47,2560.0,853.8,6.179787004987399,296.62977623939514
48,2460.0,874.9,6.1823122890628115,302.93330216407776
49,3700.0,920.9,6.183853845596314,309.1926922798157
50,2360.0,889.7,6.185018301010132,315.4359333515167
51,3950.0,826.2,6.182281370346363,321.47863125801086
52,2780.0,890.4,6.181445643586932,327.6166191101074
53,2030.0,929.4,6.182134712183917,333.8352744579315
54,2270.0,947.6,6.1847817854447795,340.1629981994629
55,3490.0,975.1,6.1845842727593014,346.3367192745209
56,2790.0,983.8,6.182692720178972,352.4134850502014
57,2680.0,919.1,6.1821652815259736,358.56558632850647
58,3550.0,903.8,6.184005717099724,364.85633730888367
59,3990.0,860.8,6.183602972825368,371.0161783695221
60,2110.0,893.2,6.182891005375346,377.1563513278961
61,2190.0,874.7,6.184207051031051,383.42083716392517
62,2450.0,936.1,6.188813179258316,389.8952302932739
63,2370.0,907.4,6.191696673631668,396.26858711242676
64,2580.0,931.4,6.192376973078801,402.50450325012207
65,2300.0,865.0,6.192312533205206,408.6926271915436
66,2650.0,955.1,6.196203971976664,415.1456661224365
67,2700.0,926.7,6.196695839657503,421.3753170967102
68,2360.0,939.4,6.2002630924833,427.81815338134766
69,2730.0,947.2,6.203736587933132,434.2615611553192
70,1950.0,930.7,6.208211156683908,440.7829921245575
71,2770.0,974.7,6.211617559194565,447.23646426200867
72,2250.0,1048.0,6.213136937520275,453.5589964389801
73,3630.0,1035.2,6.215428300805994,459.94169425964355
74,2070.0,969.4,6.217990856170655,466.3493142127991
75,3500.0,1030.1,6.221921911365108,472.86606526374817
76,2000.0,976.3,6.2257057567695515,479.3793432712555
77,3010.0,1043.6,6.229245849144765,485.8811762332916
78,2690.0,994.0,6.232569344436066,492.3729782104492
79,2590.0,976.0,6.233930891752243,498.71447134017944
80,2440.0,1017.7,6.235647125008666,505.0874171257019
81,2680.0,919.0,6.238476430497518,511.5550673007965
82,2330.0,969.3,6.241993593882365,518.0854682922363
83,3540.0,1069.5,6.245801990940457,524.6473672389984
84,2130.0,945.1,6.24666963745566,530.9669191837311
85,3850.0,1115.4,6.247785571009614,537.3095591068268
86,4730.0,1130.8,6.250304909958237,543.7765271663666
87,3650.0,1107.2,6.252663617784327,550.2343983650208
88,3740.0,1075.6,6.2543866554003085,556.6404123306274
89,3870.0,1212.5,6.2571510579850935,563.1435952186584
90,4360.0,1108.6,6.256569267629267,569.3478033542633
91,5020.0,1233.8,6.258552416511204,575.7868223190308
92,4230.0,1163.3,6.259294871361025,582.1144230365753
93,4100.0,1224.2,6.261272405056244,588.5596060752869
94,3990.0,1085.9,6.2594530858491595,594.6480431556702
95,4170.0,1327.9,6.260363273322582,600.9948742389679
96,4050.0,1213.9,6.260755361969938,607.293270111084
97,4710.0,1282.1,6.2616455530633734,613.6412642002106
98,4290.0,1442.4,6.263576659289273,620.0940892696381
99,3890.0,1337.6,6.265369012355804,626.5369012355804
